ID	Question	Wrong Answers			Correct Answer
NQ01	It connects teleprinters to each other through voice telephone lines, routed by modified telephone switches.	Web 2.0	MODEM	Carterfone	Telex Messaging Network
NQ02	In what year did the "World Brain" be invented?	1966	1935	1940	1934
NQ03	The idea of this invention is that people will continually build on each other's associative trails through the world's knowledge, helping tackle the growing problem of information overload.	World Brain	MODEM	SABRE	Memex
NQ04	It was developed by the group led by Jack Harrington to transmit radio signals.	SABRE	SNA	Memex	MODEM
NQ05	What invention can link 2,000 terminals in 65 cities to a pari of IBM 7090 computers, delivering data on any flight in less than three seconds.	SNA	MODEM	Memex	SABRE
NQ06	What does PRNET stand for?	Phone Radio Network	Processor Radio Network	Platform Radio Network	Packet Radio Network
NQ07	It is the first worm to have a major effect on real-world computer systems, and publicizes the importance of network security.	3W Worm	ILoveYou Worm	Network Worm	Morris Worm
NQ08	It is the first with international backing, and support from the International Standards Organization as an official standard.	SIO standard	The Cloud	Enquire	OSI standard
NQ09	It acoustically connects mobile radios to the telephone network.	Karterfone	Parterfone	Quarterfone	Carterfone
NQ10	What does "WWW" mean?	Wide World Worm	Web World Wide	World Wide Worm	World Wide Web
NQ11	They are the one who invented MUDs.	Stewart Brand and Larry Brilliant	Marc Andreessen & Eric Brina	Ray Tomlinson of Bolt, Beranek and Newman	Richard Bartle and Roy Trubshaw
NQ12	It is a set of protocols designed for less centralized networks.	SAGE System	SABRE	MODEM	SNA (Systems Network Architecture)
NQ13	It had revolutionized behind-the-scenes check processing in the 1950s, spawning the funny letters still at the bottom of checks today.	SABRE	SNA	SAGE System	The ERMA System
NQ14	In its early versions for computers, it let up to 15 terminals share the same line, by assigning each of them a particular frequency (Frequency Division Multiplexing).	WI-FI	Mosaic	Enquire	Multiplexers
NQ15	In what year did Tim Berners-Lee invented Enquire?	1975	1978	1972	1980
NQ16	It is the first browser supported by a major institution, and starts the Web on the road from research project to blockbuster success.	World Wide Web	The Cloud	Web 2.0	Mosaic
NQ17	It is the rebranded name of the growing IEEE 802.11b short-range radio networking standard.	World Wide Web	Web 2.0 	Morris Worm	WI-FI
NQ18	In what year did the Mobile Web hits the Market?	2020	2010	2007	2009
NQ19	After using this name, the computer utility model becomes fashionable again.	Morris Worm	Web 2.0	WI-FI	The Cloud
NQ20	It is connected to a timeshared mainframe computer, for posting messages and announcements, and can be use by anyone.	SNA	OSI Standard	WI-FI	Community Memory
