SOURCE						
https://www.computerhistory.org/timeline/computers/						
ID	Status	Date	Name	Inventor	Description	Image Link
CC01		1939	HP 200A Audio Oscillator	David Packard and Bill Hewlett	Their first product rapidly became a popular piece of test equipment for engineers.It was a low-distortion audio oscillator used for testing sound equipment.	https://www.flickr.com/photos/woz2/4894406295
CC02		1940	The Complex Number Calculator (CNC)	George Stibitz	Stibitz stunned the group by performing calculations remotely on the CNC (located in New York City) using a Teletype terminal connected via to New York over special telephone lines. This is likely the first example of remote access computing.	https://www.computerhistory.org/timeline/1940/#169ebbe2ad45559efbc6eb357208b387
CC03		1941	The Zuse Z3 Computer	Konrad Zuse	The Z3, an early computer built by German engineer Konrad Zuse working in complete isolation from developments elsewhere, uses 2,300 relays, performs floating point binary arithmetic, and has a 22-bit word length.	https://www.computerhistory.org/timeline/1941/#169ebbe2ad45559efbc6eb35720d57b7
CC04		1942	The Atanasoff-Berry Computer	John Vincent Atanasoff	The ABC was at the center of a patent dispute related to the invention of the computer, which was resolved when it was shown that ENIAC co-designer John Mauchly had seen the ABC shortly after it became functional.	https://www.computerhistory.org/timeline/1942/
CC05		1943	Relay Interpolator	George Stibitz	M-9 gun director, a type of analog computer that aims large guns to their targets.The Relay Interpolator used 440 relays, and since it was programmable by paper tape, was used for other applications following the war.	https://images.computerhistory.org/timeline/timeline_computers_1943.stibitz.jpg
CC06		1944	Harvard Mark 1	Howard Aiken	The Harvard Mark 1 is a room-sized, relay-based calculator. The machine had a fifty-foot long camshaft running the length of machine that synchronized the machine’s thousands of component parts and used 3,500 relays. The Mark 1 produced mathematical tables but was soon superseded by electronic stored-program computers.	https://www.computerhistory.org/timeline/1944/
CC07		1946	ENIAC	John Mauchly and J. Presper Eckert	ENIAC used panel-to-panel wiring and switches for programming, occupied more than 1,000 square feet, used about 18,000 vacuum tubes and weighed 30 tons. It was believed that ENIAC had done more calculation over the ten years it was in operation than all of humanity had until that time.	https://www.flickr.com/photos/kirbyurner/3660521353
CC08		1948	The Manchester "Baby"	Frederic Williams, Tom Kilburn, and Geoff Toothill	The Manchester "Baby." The Baby was built to test a new memory technology developed by Williams and Kilburn -- soon known as the Williams Tube – which was the first high-speed electronic random access memory for computers. Their first program, consisting of seventeen instructions and written by Kilburn, ran on June 21st, 1948. This was the first program in history to run on a digital, electronic, stored-program computer.	https://www.flickr.com/photos/paulspace/8239169954
CC09		1949	MADDIDA	Fred Steele	MADDIDA is a digital drum-based differential analyzer. This type of computer is useful in performing many of the mathematical equations scientists and engineers encounter in their work	https://commons.wikimedia.org/wiki/File:MADDIDA_Magnetic_Drum_Digital_Differential_Analyzer_at_CHM.jpg
CC10		1950	The Simon 1 relay	Edmund Berkeley	The Simon 1 used relay logic and cost about $600 to build. In his book Giant Brains, Berkeley noted - “We shall now consider how we can design a very simple machine that will think. Let us call it Simon, because of its predecessor, Simple Simon... Simon is so simple and so small in fact that it could be built to fill up less space than a grocery-store box; about four cubic feet.”	https://commons.wikimedia.org/wiki/File:Simon_1_relay_logic_machine.agr.jpg
CC11		1951	Ferranti Mark I		The Mark 1 was a refinement of the experimental Manchester “Baby” and Manchester Mark 1 computers, also at Manchester University.	https://images.computerhistory.org/timeline/timeline_computers_1951.ferranti.markI.jpg
CC12		1952	The Institute of Advanced Study (IAS)	John von Neumann	The IAS computer was designed for scientific calculations and it performed essential work for the US atomic weapons program.	https://images.computerhistory.org/timeline/timeline_computers_1952.maniac.jpg
CC13		1953	Manchester TC	Richard Grimsdale and Douglas Webb	Richard Grimsdale and Douglas Webb demonstrate a prototype transistorized computer, the "Manchester TC". The 48-bit machine used 92 point-contact transistors and 550 diodes.	https://images.computerhistory.org/timeline/timeline_computers_1953.manchestertc.jpg
CC14		1956	Librascope LGP-30	Stan Frankel	The Librascope division of defense contractor General Precision buys Frankel’s design, renaming it the LGP-30 . Used for science and engineering as well as simple data processing, the LGP-30 was a “bargain” at less than $50,000 and an early example of a ‘personal computer,’ that is, a computer made for a single user.	https://commons.wikimedia.org/wiki/File:LGP-30_with_skins.jc.jpg
